# http://lingua.mtsu.edu/chinese-computing/phonology/hz2py.php
id	character	syllable	phonemes
1	啊	a	a
2	阿	a	a
3	埃	ai	ai
4	挨	ai	ai
5	哎	ai	ai
6	唉	ai	ai
7	哀	ai	ai
8	皑	ai	ai
9	癌	ai	ai
10	蔼	ai	ai
11	矮	ai	ai
12	艾	ai	ai
13	碍	ai	ai
14	爱	ai	ai
15	隘	ai	ai
16	鞍	an	an
17	氨	an	an
18	安	an	an
19	俺	an	an
20	按	an	an
21	暗	an	an
22	岸	an	an
23	胺	an	an
24	案	an	an
25	肮	ang	aN
26	昂	ang	aN
27	盎	ang	aN
28	凹	ao	au
29	敖	ao	au
30	熬	ao	au
31	翱	ao	au
32	袄	ao	au
33	傲	ao	au
34	奥	ao	au
35	懊	ao	au
36	澳	ao	au
37	芭	ba	pa
38	捌	ba	pa
39	扒	ba	pa
40	叭	ba	pa
41	吧	ba	pa
42	笆	ba	pa
43	八	ba	pa
44	疤	ba	pa
45	巴	ba	pa
46	拔	ba	pa
47	跋	ba	pa
48	靶	ba	pa
49	把	ba	pa
50	耙	pa	pha
51	坝	ba	pa
52	霸	ba	pa
53	罢	ba	pa
54	爸	ba	pa
55	白	bai	pai
56	柏	bai	pai
57	百	bai	pai
58	摆	bai	pai
59	佰	bai	pai
60	败	bai	pai
61	拜	bai	pai
62	稗	bai	pai
63	斑	ban	pan
64	班	ban	pan
65	搬	ban	pan
66	扳	ban	pan
67	般	ban	pan
68	颁	ban	pan
69	板	ban	pan
70	版	ban	pan
71	扮	ban	pan
72	拌	ban	pan
73	伴	ban	pan
74	瓣	ban	pan
75	半	ban	pan
76	办	ban	pan
77	绊	ban	pan
78	邦	bang	paN
79	帮	bang	paN
80	梆	bang	paN
81	榜	bang	paN
82	膀	pang	phaN
83	绑	bang	paN
84	棒	bang	paN
85	磅	bang	paN
86	蚌	bang	paN
87	镑	bang	paN
88	傍	bang	paN
89	谤	bang	paN
90	苞	bao	pau
91	胞	bao	pau
92	包	bao	pau
93	褒	bao	pau
94	剥	bo	p«
95	薄	bao	pau
96	雹	bao	pau
97	保	bao	pau
98	堡	bao	pau
99	饱	bao	pau
100	宝	bao	pau
101	抱	bao	pau
102	报	bao	pau
103	暴	bao	pau
104	豹	bao	pau
105	鲍	bao	pau
106	爆	bao	pau
107	杯	bei	p«i
108	碑	bei	p«i
109	悲	bei	p«i
110	卑	bei	p«i
111	北	bei	p«i
112	辈	bei	p«i
113	背	bei	p«i
114	贝	bei	p«i
115	钡	bei	p«i
116	倍	bei	p«i
117	狈	bei	p«i
118	备	bei	p«i
119	惫	bei	p«i
120	焙	bei	p«i
121	被	bei	p«i
122	奔	ben	p«n
123	苯	ben	p«n
124	本	ben	p«n
125	笨	ben	p«n
126	崩	beng	p«N
127	绷	beng	p«N
128	甭	beng	p«N
129	泵	beng	p«N
130	蹦	beng	p«N
131	迸	beng	p«N
132	逼	bi	pi
133	鼻	bi	pi
134	比	pi	phi
135	鄙	bi	pi
136	笔	bi	pi
137	彼	bi	pi
138	碧	bi	pi
139	蓖	bi	pi
140	蔽	bi	pi
141	毕	bi	pi
142	毙	bi	pi
143	毖	bi	pi
144	币	bi	pi
145	庇	bi	pi
146	痹	bi	pi
147	闭	bi	pi
148	敝	bi	pi
149	弊	bi	pi
150	必	bi	pi
151	辟	pi	phi
152	壁	bi	pi
153	臂	bi	pi
154	避	bi	pi
155	陛	bi	pi
156	鞭	bian	pian
157	边	bian	pian
158	编	bian	pian
159	贬	bian	pian
160	扁	bian	pian
161	便	bian	pian
162	变	bian	pian
163	卞	bian	pian
164	辨	bian	pian
165	辩	bian	pian
166	辫	bian	pian
167	遍	bian	pian
168	标	biao	piau
169	彪	biao	piau
170	膘	biao	piau
171	表	biao	piau
172	鳖	bie	pi«
173	憋	bie	pi«
174	别	bie	pi«
175	瘪	bie	pi«
176	彬	bin	pin
177	斌	bin	pin
178	濒	bin	pin
179	滨	bin	pin
180	宾	bin	pin
181	摈	bin	pin
182	兵	bing	pi«N
183	冰	bing	pi«N
184	柄	bing	pi«N
185	丙	bing	pi«N
186	秉	bing	pi«N
187	饼	bing	pi«N
188	炳	bing	pi«N
189	病	bing	pi«N
190	并	bing	pi«N
191	玻	bo	p«
192	菠	bo	p«
193	播	bo	p«
194	拨	bo	p«
195	钵	bo	p«
196	波	bo	p«
197	博	bo	p«
198	勃	bo	p«
199	搏	bo	p«
200	铂	bo	p«
201	箔	bo	p«
202	伯	bo	p«
203	帛	bo	p«
204	舶	bo	p«
205	脖	bo	p«
206	膊	bo	p«
207	渤	bo	p«
208	泊	po	ph«
209	驳	bo	p«
210	捕	bu	pu
211	卜	bo	p«
212	哺	bu	pu
213	补	bu	pu
214	埠	bu	pu
215	不	bu	pu
216	布	bu	pu
217	步	bu	pu
218	簿	bu	pu
219	部	bu	pu
220	怖	bu	pu
221	擦	ca	tsha
222	猜	cai	tshai
223	裁	cai	tshai
224	材	cai	tshai
225	才	cai	tshai
226	财	cai	tshai
227	睬	cai	tshai
228	踩	cai	tshai
229	采	cai	tshai
230	彩	cai	tshai
231	菜	cai	tshai
232	蔡	cai	tshai
233	餐	can	tshan
234	参	can	tshan
235	蚕	can	tshan
236	残	can	tshan
237	惭	can	tshan
238	惨	can	tshan
239	灿	can	tshan
240	苍	cang	tshaN
241	舱	cang	tshaN
242	仓	cang	tshaN
243	沧	cang	tshaN
244	藏	zang	tsaN
245	操	cao	tshau
246	糙	cao	tshau
247	槽	cao	tshau
248	曹	cao	tshau
249	草	cao	tshau
250	厕	ce	tsh«
251	策	ce	tsh«
252	侧	ce	tsh«
253	册	ce	tsh«
254	测	ce	tsh«
255	层	ceng	tsh«N
256	蹭	ceng	tsh«N
257	插	cha	ÿ§ha
258	叉	cha	ÿ§ha
259	茬	cha	ÿ§ha
260	茶	cha	ÿ§ha
261	查	cha	ÿ§ha
262	碴	cha	ÿ§ha
263	搽	cha	ÿ§ha
264	察	cha	ÿ§ha
265	岔	cha	ÿ§ha
266	差	cha	ÿ§ha
267	诧	cha	ÿ§ha
268	拆	ca	tsha
269	柴	chai	ÿ§hai
270	豺	chai	ÿ§hai
271	搀	chan	ÿ§han
272	掺	can	tshan
273	蝉	chan	ÿ§han
274	馋	chan	ÿ§han
275	谗	chan	ÿ§han
276	缠	chan	ÿ§han
277	铲	chan	ÿ§han
278	产	chan	ÿ§han
279	阐	chan	ÿ§han
