# http://lingua.mtsu.edu/chinese-computing/phonology/phoneme3500.php
# http://lingua.mtsu.edu/chinese-computing/phonology2004/phoneme.php
phoneme	occurrences	frequency
N	621	29654813
a	1279	56603031
f	119	4874955
i	1422	72800544
k	141	8748892
kh	93	3637526
l	223	10429059
m	143	6103931
n	800	36491264
p	159	8515738
ph	118	2161801
r	58	5949547
s	305	13435111
t	165	20603876
th	144	7428975
ts	351	19857467
tsh	223	8475106
u	1339	60013818
x	168	8443759
y	187	7925096
§	189	14684882
«	1130	74402903
ÿ§	218	12561193
ÿ§h	144	5169086
