# http://lingua.mtsu.edu/chinese-computing/phonology/py2phoneme.php
id	syllable	phonemes	decomposition	count
1	a	a	a	1
2	ai	ai	a, i	2
3	an	an	a, n	2
4	ang	aN	a, N	2
5	ao	au	a, u	2
6	ba	pa	p, a	2
7	bai	pai	p, a, i	3
8	ban	pan	p, a, n	3
9	bang	paN	p, a, N	3
10	bao	pau	p, a, u	3
11	bei	p«i	p, «, i	3
12	ben	p«n	p, «, n	3
13	beng	p«N	p, «, N	3
14	bi	pi	p, i	2
15	bian	pian	p, i, a, n	4
16	biao	piau	p, i, a, u	4
17	bie	pi«	p, i, «	3
18	bin	pin	p, i, n	3
19	bing	pi«N	p, i, «, N	4
20	bo	p«	p, «	2
21	bu	pu	p, u	2
22	ca	tsha	tsh, a	2
23	cai	tshai	tsh, a, i	3
24	can	tshan	tsh, a, n	3
25	cang	tshaN	tsh, a, N	3
26	cao	tshau	tsh, a, u	3
27	ce	tsh«	tsh, «	2
28	cen	tsh«n	tsh, «, n	3
29	ceng	tsh«N	tsh, «, N	3
30	cha	ÿ§ha	ÿ§h, a	2
31	chai	ÿ§hai	ÿ§h, a, i	3
32	chan	ÿ§han	ÿ§h, a, n	3
33	chang	ÿ§haN	ÿ§h, a, N	3
34	chao	ÿ§hau	ÿ§h, a, u	3
35	che	ÿ§h«	ÿ§h, «	2
36	chen	ÿ§h«n	ÿ§h, «, n	3
37	cheng	ÿ§h«N	ÿ§h, «, N	3
38	chi	ÿ§h	ÿ§h	1
39	chong	ÿ§huN	ÿ§h, u, N	3
40	chou	ÿ§h«u	ÿ§h, «, u	3
41	chu	ÿ§hu	ÿ§h, u	2
42	chua	ÿ§hua	ÿ§h, u, a	3
43	chuai	ÿ§huai	ÿ§h, u, a, i	4
44	chuan	ÿ§huan	ÿ§h, u, a, n	4
45	chuang	ÿ§huaN	ÿ§h, u, a, N	4
46	chui	ÿ§hu«i	ÿ§h, u, «, i	4
47	chun	ÿ§hu«n	ÿ§h, u, «, n	4
48	chuo	ÿ§hu«	ÿ§h, u, «	3
49	ci	tsh	tsh	1
50	cong	tshuN	tsh, u, N	3
51	cou	tsh«u	tsh, «, u	3
52	cu	tshu	tsh, u	2
53	cuan	tshuan	tsh, u, a, n	4
54	cui	tshu«i	tsh, u, «, i	4
55	cun	tshu«n	tsh, u, «, n	4
56	cuo	tshu«	tsh, u, «	3
57	da	ta	t, a	2
58	dai	tai	t, a, i	3
59	dan	tan	t, a, n	3
60	dang	taN	t, a, N	3
61	dao	tau	t, a, u	3
62	de	t«	t, «	2
63	dei	t«i	t, «, i	3
64	den	t«n	t, «, n	3
65	deng	t«N	t, «, N	3
66	di	ti	t, i	2
67	dian	tian	t, i, a, n	4
68	diao	tiau	t, i, a, u	4
69	die	ti«	t, i, «	3
70	ding	ti«N	t, i, «, N	4
71	diu	ti«u	t, i, «, u	4
72	dong	tuN	t, u, N	3
73	dou	t«u	t, «, u	3
74	du	tu	t, u	2
75	duan	tuan	t, u, a, n	4
76	dui	tu«i	t, u, «, i	4
77	dun	tu«n	t, u, «, n	4
78	duo	tu«	t, u, «	3
79	e	«	«	1
80	en	«n	«, n	2
81	eng	«N	«, N	2
82	er	«r	«, r	2
83	fa	fa	f, a	2
84	fan	fan	f, a, n	3
85	fang	faN	f, a, N	3
86	fei	f«i	f, «, i	3
87	fen	f«n	f, «, n	3
