# http://lingua.mtsu.edu/chinese-computing/phonology/syllabletone.php
id	pinyin	frequency	phonemes
1	a5	143836	a
2	ai1	34794	ai
3	ai2	16044	ai
4	ai3	7909	ai
5	ai4	154839	ai
6	an1	188449	an
7	an3	2671	an
8	an4	227391	an
9	ang1	1499	aN
10	ang2	7637	aN
11	ang4	1131	aN
12	ao1	2273	au
13	ao2	3924	au
14	ao3	1057	au
15	ao4	53201	au
16	ba1	82762	pa
17	ba2	108689	pa
18	ba3	1411	pa
19	ba4	380447	pa
20	ba5	106028	pa
21	bai2	148728	pai
22	bai3	139693	pai
23	bai4	60605	pai
24	ban1	124251	pan
25	ban3	78185	pan
26	ban4	226789	pan
27	bang1	64218	paN
28	bang3	7570	paN
29	bang4	15469	paN
30	bao1	108942	pau
31	bao2	15150	pau
32	bao3	227852	pau
33	bao4	268590	pau
34	bei1	51649	p«i
35	bei3	136939	p«i
36	bei4	481504	p«i
37	ben3	388118	p«n
38	ben4	23701	p«n
39	beng1	5658	p«N
40	beng2	1146	p«N
41	beng4	5628	p«N
42	bi1	12623	pi
43	bi2	17773	pi
44	bi3	59136	pi
45	bi4	331746	pi
46	bian1	45055	pian
47	bian3	14530	pian
48	bian4	402035	pian
49	bian5	136277	pian
50	biao1	93254	piau
51	biao3	226768	piau
52	bie1	1588	pi«
53	bie4	186634	pi«
54	bin1	25234	pin
55	bing1	134183	pi«N
56	bing3	18672	pi«N
57	bing4	380308	pi«N
58	bo1	104184	p«
59	bo2	114747	p«
60	bo5	7301	p«
61	bu2	2237915	pu
62	bu3	55244	pu
63	bu4	650809	pu
64	ca1	15954	tsha
65	cai1	11875	tshai
66	cai2	293917	tshai
67	cai3	27717	tshai
68	cai4	93787	tshai
69	can1	95304	tshan
70	can2	28641	tshan
71	can4	17871	tshan
72	cang1	28725	tshaN
73	cao1	24824	tshau
74	cao2	15438	tshau
75	cao3	44612	tshau
76	ce4	128686	tsh«
77	cen2	1069	tsh«n
78	ceng2	143033	tsh«N
79	cha1	13938	ÿ§ha
80	cha2	181337	ÿ§ha
81	cha4	59990	ÿ§ha
82	chai2	7276	ÿ§hai
83	chan1	1172	ÿ§han
84	chan2	8446	ÿ§han
85	chan3	272452	ÿ§han
86	chan4	9610	ÿ§han
87	chang1	12944	ÿ§haN
88	chang2	593421	ÿ§haN
89	chang3	210348	ÿ§haN
90	chang4	32851	ÿ§haN
91	chao1	56700	ÿ§hau
92	chao2	96495	ÿ§hau
93	chao3	9969	ÿ§hau
94	che1	118824	ÿ§h«
95	che3	6325	ÿ§h«
96	che4	41148	ÿ§h«
97	chen1	1215	ÿ§h«n
98	chen2	183634	ÿ§h«n
99	chen4	103492	ÿ§h«n
100	cheng1	5628	ÿ§h«N
101	cheng2	850343	ÿ§h«N
102	cheng3	1530	ÿ§h«N
103	chi1	92722	ÿ§h
104	chi2	158310	ÿ§h
105	chi3	31275	ÿ§h
106	chi4	29954	ÿ§h
107	chong1	56085	ÿ§huN
108	chong2	33171	ÿ§huN
109	chong3	4108	ÿ§huN
110	chong4	53378	ÿ§huN
111	chou1	22937	ÿ§h«u
112	chou2	45395	ÿ§h«u
113	chou3	10693	ÿ§h«u
114	chou4	6166	ÿ§h«u
115	chu1	813843	ÿ§hu
116	chu2	99345	ÿ§hu
117	chu3	83731	ÿ§hu
118	chu4	224620	ÿ§hu
119	chuai4	1829	ÿ§huai
120	chuan1	70889	ÿ§huan
121	chuan2	194069	ÿ§huan
122	chuan3	7320	ÿ§huan
123	chuan4	8695	ÿ§huan
124	chuang1	28659	ÿ§huaN
125	chuang2	27283	ÿ§huaN
126	chuang3	5954	ÿ§huaN
127	chuang4	63156	ÿ§huaN
128	chui1	17442	ÿ§hu«i
129	chui2	15081	ÿ§hu«i
130	chun1	36027	ÿ§hu«n
131	chun2	38179	ÿ§hu«n
132	chun3	5542	ÿ§hu«n
133	chuo1	2051	ÿ§hu«
134	chuo4	2089	ÿ§hu«
135	ci2	90106	tsh
136	ci3	318534	tsh
137	ci4	249179	tsh
138	cong1	24550	tshuN
139	cong2	380623	tshuN
140	cou4	5544	tsh«u
141	cu1	15557	tshu
142	cu4	30970	tshu
143	cuan4	5002	tshuan
144	cui1	15757	tshu«i
145	cui4	24004	tshu«i
146	cun1	52603	tshu«n
147	cun2	110970	tshu«n
148	cun3	1890	tshu«n
149	cun4	8056	tshu«n
150	cuo1	3050	tshu«
151	cuo3	1049	tshu«
152	cuo4	90662	tshu«
153	da1	8626	ta
154	da2	220328	ta
155	da3	186146	ta
156	da4	1054064	ta
157	dai1	17746	tai
158	dai3	2148	tai
159	dai4	477150	tai
160	dan1	131535	tan
161	dan3	17486	tan
162	dan4	551461	tan
163	dang1	429274	taN
164	dang3	103165	taN
165	dang4	32367	taN
166	dao1	27292	tau
167	dao3	178045	tau
168	dao4	1583563	tau
169	de2	168917	t«
170	de5	8553372	t«
171	deng1	68088	t«N
172	deng3	266296	t«N
173	deng4	22449	t«N
174	di1	80368	ti
175	di2	105286	ti
176	di3	102477	ti
177	di4	1436219	ti
178	dian1	8131	tian
179	dian3	329660	tian
180	dian4	237908	tian
181	diao1	8713	tiau
182	diao4	158370	tiau
183	die1	18983	ti«
184	die2	18346	ti«
185	ding1	34708	ti«N
186	ding3	35825	ti«N
187	ding4	450588	ti«N
188	diu1	11285	ti«u
189	dong1	224625	tuN
190	dong3	32567	tuN
191	dong4	466052	tuN
192	dou1	443231	t«u
193	dou3	14005	t«u
194	dou4	84087	t«u
195	du1	36883	tu
196	du2	148208	tu
197	du3	16538	tu
198	du4	47268	tu
199	duan1	36233	tuan
200	duan3	37834	tuan
201	duan4	173661	tuan
202	dui4	870671	tu«i
203	dun1	24207	tu«n
204	dun4	63693	tu«n
205	duo1	484388	tu«
206	duo2	238402	tu«
207	duo3	23636	tu«
208	duo4	1302	tu«
209	e2	85441	«
210	e4	22923	«
211	e5	1532	«
212	en1	37898	«n
213	eng	6707	«N
214	er2	857066	«r
215	er3	229320	«r
216	er4	267506	«r
217	fa2	49019	fa
218	fa3	466816	fa
219	fa4	572904	fa
220	fan1	52604	fan
221	fan2	51955	fan
222	fan3	196564	fan
223	fan4	158327	fan
224	fang1	504778	faN
225	fang2	168518	faN
226	fang3	53179	faN
227	fang4	147600	faN
228	fei1	280231	f«i
229	fei2	11594	f«i
230	fei3	22839	f«i
231	fei4	113127	f«i
232	fen1	42872	f«n
233	fen2	8120	f«n
234	fen3	13874	f«n
235	fen4	501833	f«n
236	feng1	230581	f«N
237	feng2	15760	f«N
238	feng3	4713	f«N
239	feng4	38782	f«N
240	fo2	47038	f«
241	fou3	64772	f«u
242	fu1	13145	fu
243	fu2	290495	fu
244	fu3	144463	fu
245	fu4	602195	fu
246	fu5	6257	fu
247	ga3	2307	ka
248	ga4	2743	ka
249	gai1	136053	kai
250	gai3	121023	kai
251	gai4	78029	kai
252	gan1	37093	kan
253	gan3	267307	kan
254	gan4	121876	kan
255	gang1	82689	kaN
256	gang3	44740	kaN
257	gang4	13470	kaN
258	gao1	297684	kau
259	gao3	36277	kau
260	gao4	141243	kau
261	ge1	96813	k«
262	ge2	250512	k«
263	ge3	7952	k«
264	ge4	1393015	k«
265	gei3	217815	k«i
266	gen1	196736	k«n
267	geng1	10244	k«N
268	geng3	5020	k«N
269	geng4	187378	k«N
270	gong1	848800	kuN
271	gong3	7683	kuN
272	gong4	215777	kuN
273	gou1	16875	k«u
274	gou3	21306	k«u
275	gou4	191469	k«u
276	gu1	59213	ku
277	gu3	196511	ku
278	gu4	177184	ku
279	gua1	13305	kua
280	gua3	6112	kua
281	gua4	23827	kua
282	guai1	3828	kuai
283	guai3	5282	kuai
284	guai4	46600	kuai
285	guan1	403271	kuan
286	guan3	201310	kuan
287	guan4	183826	kuan
288	guang1	147639	kuaN
289	guang3	87900	kuaN
290	guang4	3074	kuaN
291	gui1	180190	ku«i
292	gui3	40512	ku«i
293	gui4	59601	ku«i
294	gun3	12863	ku«n
295	gun4	5140	ku«n
296	guo1	15347	ku«
297	guo2	985350	ku«
298	guo3	251153	ku«
299	guo4	589925	ku«
300	ha4	52475	xa
301	hai2	495311	xai
302	hai3	209302	xai
303	hai4	74567	xai
304	han2	86743	xan
305	han3	28188	xan
306	han4	88640	xan
307	hang2	51372	xaN
308	hao2	55171	xau
309	hao3	1681	xau
310	hao4	516354	xau
311	he2	358767	x«
312	he4	1276446	x«
313	hei1	84324	x«i
314	hen2	7805	x«n
315	hen3	295368	x«n
316	hen4	18702	x«n
317	heng1	13264	x«N
318	heng2	27202	x«N
319	heng4	17912	x«N
320	hong1	21041	xuN
321	hong2	125266	xuN
322	hong4	3660	xuN
323	hou2	11815	x«u
324	hou3	5814	x«u
325	hou4	731776	x«u
326	hu1	168541	xu
327	hu2	94403	xu
328	hu4	208731	xu
329	hua1	103367	xua
330	hua2	19759	xua
331	hua4	684865	xua
332	huai2	55976	xuai
333	huai4	41723	xuai
334	huan1	55294	xuan
335	huan2	59522	xuan
336	huan3	25455	xuan
337	huan4	92677	xuan
338	huang1	29073	xuaN
