"id","province"
"11","Běijīng 北京"
"12","Tiānjīn 天津"
"13","Héběi 河北"
"14","Shānxī 山西"
"15","Nèi Ménggǔ 内蒙古"
"21","Liáoníng 辽宁"
"22","Jílín 吉林"
"23","Hēilóngjiāng 黑龙江"
"31","Shànghǎi 上海"
"32","Jiāngsū 江苏"
"33","Zhèjiāng 浙江"
"34","Ānhuī 安徽"
"35","Fújiàn 福建"
"36","Jiāngxī 江西"
"37","Shāndōng 山东"
"41","Hénán 河南"
"42","Húběi 湖北"
"43","Húnán 湖南"
"44","Guǎngdōng 广东"
"45","Guǎngxī 广西"
"46","Hǎinán 海南"
"50","Chóngqìng 重庆"
"51","Sìchuān 四川"
"52","Guìzhōu 贵州"
"53","Yúnnán 云南"
"54","Xīzàng 西藏"
"61","Shǎnxī 陕西"
"62","Gānsù 甘肃"
"63","Qīnghǎi 青海"
"64","Níngxià 宁夏"
"65","Xīnjiāng 新疆"
"71","Táiwān 台湾"
"81","Xiānggǎng 香港"
"82","Àomén 澳门"
"100","Qítā 其他"
"400","Hǎiwài 海外"
"0","Unknown (SW code: 0)"
"1033","Unknown (SW code: 1033)"
"1035","Unknown (SW code: 1035)"
"1044","Unknown (SW code: 1044)"
"1100","Unknown (SW code: 1100)"
