# extracted from http://lwc.daanvanesch.nl/help.php#methodology
tag	label	example
AD	adverb	还
AS	aspect marker	着, 了
BA	bǎ 把 and jiāng 将 in bǎ-construction	将, 把
CC	coordinating conjunction	和
CD	cardinal number	一百
CS	subordinating conjunction	虽然
DEC	de 的 in a relative-clause	的
DEG	associative de 的	的
DER	de 得 in V-de construction and V-de-R	得
DEV	de 地 before VP	地
DT	determiner	这
ETC	for words děng 等 and déngděng 等等	等, 等等
FW	foreign words	ISO
IJ	interjection	啊
JJ	other noun-modifier	男, 共同
LB	bèi 被 in long bèi-construction (with agent)	被, 给
LC	localizer	里
M	measure word	个
MSP	other particle	所
NN	common noun	书
NR	proper noun	美国
NT	temporal noun	今天
OD	ordinal number	第一
ON	onomatopoeia	哈哈, 哗哗
P	preposition excluding bèi 被 and bǎ 把	从
PN	pronoun	他
PU	punctuation	，。？！
SB	bèi 被 in short bèi-const	被
SP	sentence-final particle	吗
VA	predicative adjective	红
VC	shì 是	是
VE	yǒu 有 as the main verb	有
VV	other verb	走
